run,sector,pq_safe,classical,error,total,cohort_n,cohort_pq_safe,cohort_pct
2026-04-23,banking,14,36,14,64,50,14,28.0
2026-04-23,bigtech_saas,43,17,6,66,59,42,71.2
2026-04-23,cdn_cloud,22,12,2,36,34,22,64.7
2026-04-23,critical_infra,13,17,7,37,30,13,43.3
2026-04-23,ecommerce,10,23,5,38,33,10,30.3
2026-04-23,government,13,23,7,43,36,13,36.1
2026-04-23,news_media,18,11,9,38,28,17,60.7
2026-04-23,pq_aware_control,16,7,5,28,23,16,69.6
2026-05-10,banking,15,35,14,64,50,15,30.0
2026-05-10,bigtech_saas,43,17,6,66,59,42,71.2
2026-05-10,cdn_cloud,22,12,2,36,34,22,64.7
2026-05-10,critical_infra,13,17,7,37,30,13,43.3
2026-05-10,ecommerce,10,23,5,38,33,10,30.3
2026-05-10,government,15,21,7,43,36,15,41.7
2026-05-10,news_media,18,11,9,38,28,17,60.7
2026-05-10,pq_aware_control,16,7,5,28,23,16,69.6
2026-09-03,banking,48,3,13,64,50,47,94.0
2026-09-03,bigtech_saas,48,12,6,66,59,48,81.4
2026-09-03,cdn_cloud,29,5,2,36,34,29,85.3
2026-09-03,critical_infra,24,7,6,37,30,24,80.0
2026-09-03,ecommerce,26,12,0,38,33,26,78.8
2026-09-03,government,33,5,5,43,36,31,86.1
2026-09-03,news_media,27,1,10,38,28,27,96.4
2026-09-03,pq_aware_control,21,3,4,28,23,20,87.0
