host,sector,region,notes
h001,cdn_cloud,global,
h002,cdn_cloud,global,
h003,cdn_cloud,global,
h004,cdn_cloud,global,
h005,cdn_cloud,global,
h006,cdn_cloud,global,test endpoint
h007,cdn_cloud,global,
h008,cdn_cloud,global,
h009,cdn_cloud,us,
h010,cdn_cloud,us,
h011,cdn_cloud,us,
h012,cdn_cloud,us,
h013,cdn_cloud,us,
h014,cdn_cloud,us,
h015,cdn_cloud,us,
h016,cdn_cloud,us,
h017,cdn_cloud,us,
h018,cdn_cloud,us,
h019,cdn_cloud,us,
h020,cdn_cloud,eu_de,
h021,cdn_cloud,eu_fr,
h022,cdn_cloud,eu_fr,
h023,cdn_cloud,us,
h024,cdn_cloud,us,
h025,cdn_cloud,us,
h026,cdn_cloud,cn,
h027,cdn_cloud,cn,
h028,cdn_cloud,eu,
h029,cdn_cloud,us,
h030,cdn_cloud,us,
h031,cdn_cloud,us,
h032,cdn_cloud,us,
h033,cdn_cloud,us,
h034,cdn_cloud,us,
h035,cdn_cloud,us,
h036,cdn_cloud,us,
h037,bigtech_saas,us,
h038,bigtech_saas,us,
h039,bigtech_saas,us,
h040,bigtech_saas,us,
h041,bigtech_saas,us,
h042,bigtech_saas,us,
h043,bigtech_saas,us,
h044,bigtech_saas,us,
h045,bigtech_saas,us,
h046,bigtech_saas,us,
h047,bigtech_saas,us,
h048,bigtech_saas,us,
h049,bigtech_saas,us,
h050,bigtech_saas,us,
h051,bigtech_saas,us,
h052,bigtech_saas,us,
h053,bigtech_saas,us,
h054,bigtech_saas,us,
h055,bigtech_saas,us,
h056,bigtech_saas,us,
h057,bigtech_saas,us,
h058,bigtech_saas,us,
h059,bigtech_saas,us,
h060,bigtech_saas,us,
h061,bigtech_saas,us,
h062,bigtech_saas,us,
h063,bigtech_saas,us,
h064,bigtech_saas,us,
h065,bigtech_saas,au,
h066,bigtech_saas,us,
h067,bigtech_saas,us,
h068,bigtech_saas,us,
h069,bigtech_saas,us,
h070,bigtech_saas,us,
h071,bigtech_saas,us,
h072,bigtech_saas,us,
h073,bigtech_saas,us,
h074,bigtech_saas,us,
h075,bigtech_saas,us,
h076,bigtech_saas,us,
h077,bigtech_saas,us,
h078,bigtech_saas,us,
h079,bigtech_saas,us,
h080,bigtech_saas,us,
h081,bigtech_saas,ca,
h082,bigtech_saas,ca,
